"","Protein","gene_id","description","gene_name","fc","p.value","adj.p.value"
"EDEM3","EDEM3","ENSG00000116406.18","ER degradation enhancing alpha-mannosidase like protein 3 [Source:HGNC Symbol;Acc:HGNC:16787]","EDEM3",0.226109106904696,0.00495792375168231,0.0457929774511056
"NOP58","NOP58","ENSG00000055044.10","NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]","NOP58",0.225956095732578,1.78335702927317e-05,0.00522061257754634
"SRP68","SRP68","ENSG00000167881.14","signal recognition particle 68 [Source:HGNC Symbol;Acc:HGNC:11302]","SRP68",0.225035889407402,0.00327594199792624,0.0382375503004632
"DDX31","DDX31","ENSG00000125485.17","DEAD-box helicase 31 [Source:HGNC Symbol;Acc:HGNC:16715]","DDX31",0.225020420469278,0.00248722761700467,0.034762787738602
"PDIA4","PDIA4","ENSG00000155660.10","protein disulfide isomerase family A member 4 [Source:HGNC Symbol;Acc:HGNC:30167]","PDIA4",0.224640361160716,0.00204419379056231,0.0319643041811745
"STAT3","STAT3","ENSG00000168610.14","signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]","STAT3",0.224637437320699,0.00394161368571651,0.0414288757605097
"MYL6B","MYL6B","ENSG00000196465.10","myosin light chain 6B [Source:HGNC Symbol;Acc:HGNC:29823]","MYL6B",0.224087973730992,0.00585514588262704,0.0494028906391358
"PHLDB2","PHLDB2","ENSG00000144824.20","pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]","PHLDB2",0.223557452992264,0.00539020785365861,0.0474963242757164
"OS9","OS9","ENSG00000135506.15","OS9, endoplasmic reticulum lectin [Source:HGNC Symbol;Acc:HGNC:16994]","OS9",0.223042476260472,0.00190663599629883,0.0308955685142815
"MGAT3","MGAT3","ENSG00000128268.11","mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7046]","MGAT3",0.221994294951434,0.00275026176414268,0.0356986858595375
"TMEM115","TMEM115","ENSG00000126062.3","transmembrane protein 115 [Source:HGNC Symbol;Acc:HGNC:30055]","TMEM115",0.221929382483079,0.00600742523957669,0.0499529377351494
"LACTB2","LACTB2","ENSG00000147592.8","lactamase beta 2 [Source:HGNC Symbol;Acc:HGNC:18512]","LACTB2",0.221801848262703,0.00138755350378101,0.0280491634114709
"SCAF1","SCAF1","ENSG00000126461.14","SR-related CTD associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30403]","SCAF1",0.220856464169677,0.00080240951612262,0.0233170765273279
"LZTR1","LZTR1","ENSG00000099949.18","leucine zipper like transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:6742]","LZTR1",0.220207249879791,0.00523626183738141,0.0469860600304228
"TOR1B","TOR1B","ENSG00000136816.15","torsin family 1 member B [Source:HGNC Symbol;Acc:HGNC:11995]","TOR1B",0.219688459893225,0.00120637220230316,0.0272331939411807
"RRP12","RRP12","ENSG00000052749.13","ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]","RRP12",0.219494279296836,0.00392883005471695,0.0414198348839357
"QKI","QKI","ENSG00000112531.16","QKI, KH domain containing RNA binding [Source:HGNC Symbol;Acc:HGNC:21100]","QKI",0.218874761246163,0.000231011874834897,0.0136262526768285
"PECR","PECR","ENSG00000115425.13","peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]","PECR",0.218279492230699,0.00308295377590085,0.0371458332998785
"TRMT1L","TRMT1L","ENSG00000121486.11","tRNA methyltransferase 1 like [Source:HGNC Symbol;Acc:HGNC:16782]","TRMT1L",0.21689671958177,0.000134781857675271,0.0123240278709995
"UHRF1BP1","UHRF1BP1","ENSG00000065060.16","UHRF1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21216]","UHRF1BP1",0.216655982244421,0.00104629652746295,0.0259245384108688
"SMG1","SMG1","ENSG00000157106.16","SMG1, nonsense mediated mRNA decay associated PI3K related kinase [Source:HGNC Symbol;Acc:HGNC:30045]","SMG1",0.216460027646034,0.00206554172560161,0.0319851296632936
"TNFRSF10B","TNFRSF10B","ENSG00000120889.12","TNF receptor superfamily member 10b [Source:HGNC Symbol;Acc:HGNC:11905]","TNFRSF10B",0.215477310366965,0.000773269920991787,0.0230866676068188
"DCP2","DCP2","ENSG00000172795.15","decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]","DCP2",0.213399416313683,0.00601027881909502,0.0499529377351494
"PRRC2A","PRRC2A","ENSG00000225748.9","proline rich coiled-coil 2A [Source:HGNC Symbol;Acc:HGNC:13918]","PRRC2A",0.21144586007951,0.00603371729881267,0.0499900435323012
"MAK16","MAK16","ENSG00000198042.10","MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]","MAK16",0.211130152227177,0.00359936640146768,0.0397893594925882
"DAPK3","DAPK3","ENSG00000167657.13","death associated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:2676]","DAPK3",0.210883983885537,0.00346941508340092,0.0391746525988584
"PDPR","PDPR","ENSG00000090857.13","pyruvate dehydrogenase phosphatase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:30264]","PDPR",0.208485424528684,0.00127802565425929,0.0276156865358807
"RASA2","RASA2","ENSG00000155903.11","RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]","RASA2",0.208191499880943,0.00352934452113963,0.0393454712201518
"ARHGAP39","ARHGAP39","ENSG00000147799.11","Rho GTPase activating protein 39 [Source:HGNC Symbol;Acc:HGNC:29351]","ARHGAP39",0.207691301413346,0.00462863175021269,0.0442737827597996
"DCAF1","DCAF1","ENSG00000145041.15","DDB1 and CUL4 associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30911]","DCAF1",0.206761248186524,0.00533324963166813,0.0473108923554488
"TRMT1","TRMT1","ENSG00000104907.12","tRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25980]","TRMT1",0.206709550520795,0.00416372926283374,0.0422238818768579
"PTPRK","PTPRK","ENSG00000152894.14","protein tyrosine phosphatase, receptor type K [Source:HGNC Symbol;Acc:HGNC:9674]","PTPRK",0.206051372137755,0.00191296883609513,0.0308955685142815
"FAM207A","FAM207A","ENSG00000160256.12","family with sequence similarity 207 member A [Source:HGNC Symbol;Acc:HGNC:15811]","FAM207A",0.205517532894881,0.00382245009206899,0.0410362270133784
"DIEXF","DIEXF","ENSG00000117597.17","digestive organ expansion factor homolog (zebrafish) [Source:HGNC Symbol;Acc:HGNC:28440]","DIEXF",0.2050463051806,0.00562726021308813,0.0483172512511398
"NOP56","NOP56","ENSG00000101361.16","NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]","NOP56",0.204429493823018,0.000829282444980582,0.02366299077663
"NCEH1","NCEH1","ENSG00000144959.9","neutral cholesterol ester hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29260]","NCEH1",0.203935615131596,0.0017384685896478,0.03006751801439
"C6orf203","C6orf203","ENSG00000130349.9","chromosome 6 open reading frame 203 [Source:HGNC Symbol;Acc:HGNC:17971]","C6orf203",0.203749915134309,0.000319520251655504,0.0158446300312567
"SYVN1","SYVN1","ENSG00000162298.18","synoviolin 1 [Source:HGNC Symbol;Acc:HGNC:20738]","SYVN1",0.203439611932438,0.00416683044837414,0.0422238818768579
"OGFOD1","OGFOD1","ENSG00000087263.16","2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585]","OGFOD1",0.202875071246589,0.0013313343258429,0.0276917539775323
"TLK2","TLK2","ENSG00000146872.17","tousled like kinase 2 [Source:HGNC Symbol;Acc:HGNC:11842]","TLK2",0.202861892077308,0.00310665209644265,0.0372763153839589
"PITPNB","PITPNB","ENSG00000180957.17","phosphatidylinositol transfer protein beta [Source:HGNC Symbol;Acc:HGNC:9002]","PITPNB",0.202109071889405,0.00478194033843887,0.0451654648046123
"ERCC3","ERCC3","ENSG00000163161.12","ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]","ERCC3",0.201904381428745,0.00562943764073419,0.0483172512511398
"SERPINB1","SERPINB1","ENSG00000021355.12","serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]","SERPINB1",0.20136906634262,0.00307567362665039,0.0371458332998785
"TRABD","TRABD","ENSG00000170638.9","TraB domain containing [Source:HGNC Symbol;Acc:HGNC:28805]","TRABD",0.201329885150209,0.001667924137986,0.0299630841104687
"DENND4B","DENND4B","ENSG00000198837.9","DENN domain containing 4B [Source:HGNC Symbol;Acc:HGNC:29044]","DENND4B",0.200761329231273,0.00601722296418627,0.0499581200724036
"BOP1","BOP1","ENSG00000261236.7","block of proliferation 1 [Source:HGNC Symbol;Acc:HGNC:15519]","BOP1",0.200446566640858,0.00117360936042352,0.0270015735647166
"ELL","ELL","ENSG00000105656.12","elongation factor for RNA polymerase II [Source:HGNC Symbol;Acc:HGNC:23114]","ELL",0.200445177091805,0.00543422866735945,0.0477146100338153
"MAFG","MAFG","ENSG00000197063.10","MAF bZIP transcription factor G [Source:HGNC Symbol;Acc:HGNC:6781]","MAFG",0.199988850020909,0.00125187771642042,0.0275622325085988
"OPTN","OPTN","ENSG00000123240.16","optineurin [Source:HGNC Symbol;Acc:HGNC:17142]","OPTN",0.198624861952303,0.000175926220996657,0.0124827195914276
"RPL34","RPL34","ENSG00000109475.16","ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:10340]","RPL34",0.197537592226668,0.000377472221463643,0.0163633545158355
"TRMT44","TRMT44","ENSG00000155275.18","tRNA methyltransferase 44 homolog [Source:HGNC Symbol;Acc:HGNC:26653]","TRMT44",0.196749889604884,0.00294801283260742,0.0365794245352104
"GTPBP3","GTPBP3","ENSG00000130299.16","GTP binding protein 3, mitochondrial [Source:HGNC Symbol;Acc:HGNC:14880]","GTPBP3",0.192799436761235,0.00472330833037775,0.0448912636457624
"EME1","EME1","ENSG00000154920.14","essential meiotic structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:24965]","EME1",0.191928319959726,0.00181871931688696,0.0304162882921748
"AMOTL1","AMOTL1","ENSG00000166025.17","angiomotin like 1 [Source:HGNC Symbol;Acc:HGNC:17811]","AMOTL1",0.191798375466586,0.00217801145610526,0.032762530384123
"CLUH","CLUH","ENSG00000132361.16","clustered mitochondria homolog [Source:HGNC Symbol;Acc:HGNC:29094]","CLUH",0.190956501773478,0.00554868532371487,0.0481306701618952
"PDCD11","PDCD11","ENSG00000148843.13","programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408]","PDCD11",0.190921416622999,0.00332311015114002,0.038423543082715
"NARFL","NARFL","ENSG00000103245.13","nuclear prelamin A recognition factor like [Source:HGNC Symbol;Acc:HGNC:14179]","NARFL",0.189159799222551,0.00329552332667844,0.0383056123148035
"FKBP5","FKBP5","ENSG00000096060.14","FK506 binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3721]","FKBP5",0.187467045931666,0.0020462978132179,0.0319643041811745
"HSPD1","HSPD1","ENSG00000144381.16","heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]","HSPD1",0.187273324463908,0.00355088831761884,0.0394188500877237
"TBC1D23","TBC1D23","ENSG00000036054.12","TBC1 domain family member 23 [Source:HGNC Symbol;Acc:HGNC:25622]","TBC1D23",0.186613875572109,0.00286299776823138,0.0361726016588108
"TWISTNB","TWISTNB","ENSG00000105849.5","TWIST neighbor [Source:HGNC Symbol;Acc:HGNC:18027]","TWISTNB",0.186528722955165,0.002039385529412,0.0319643041811745
"GLB1L2","GLB1L2","ENSG00000149328.14","galactosidase beta 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25129]","GLB1L2",0.184994514273686,0.00419457592921441,0.0423421815383279
"DUS2","DUS2","ENSG00000167264.17","dihydrouridine synthase 2 [Source:HGNC Symbol;Acc:HGNC:26014]","DUS2",0.184884795609646,0.00014943685300138,0.0123628143638309
"DCP1A","DCP1A","ENSG00000272886.5","decapping mRNA 1A [Source:HGNC Symbol;Acc:HGNC:18714]","DCP1A",0.184508590955939,0.00304212364599033,0.0370126567053209
"POR","POR","ENSG00000127948.15","cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]","POR",0.184495615925415,0.00317776953298321,0.0376568071794592
"TRAF7","TRAF7","ENSG00000131653.12","TNF receptor associated factor 7 [Source:HGNC Symbol;Acc:HGNC:20456]","TRAF7",0.184186910256317,0.00563376878658231,0.0483172512511398
"HSF1","HSF1","ENSG00000185122.10","heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]","HSF1",0.183739741751108,0.00327999229551038,0.0382375503004632
"MTHFD2","MTHFD2","ENSG00000065911.11","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]","MTHFD2",0.181948283845356,0.00214953219868904,0.0326728894200734
"LAMB2","LAMB2","ENSG00000172037.13","laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]","LAMB2",0.181577561179263,0.00282147253769071,0.0361441149722973
"KIAA0368","KIAA0368","ENSG00000136813.14","KIAA0368 [Source:HGNC Symbol;Acc:HGNC:29020]","KIAA0368",0.180267034849712,0.0016350595754155,0.0298384540651504
"DDX56","DDX56","ENSG00000136271.10","DEAD-box helicase 56 [Source:HGNC Symbol;Acc:HGNC:18193]","DDX56",0.179482638683033,0.00118200208165384,0.0270015735647166
"MICAL2","MICAL2","ENSG00000133816.13","microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]","MICAL2",0.178526391456736,0.0042194950087796,0.0423772408505641
"CHD2","CHD2","ENSG00000173575.20","chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]","CHD2",0.178503467257485,0.00228097380798182,0.0333866981079413
"HKDC1","HKDC1","ENSG00000156510.12","hexokinase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23302]","HKDC1",0.177798136254726,0.00293438116069539,0.0364675293932962
"MGAT2","MGAT2","ENSG00000168282.5","mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7045]","MGAT2",0.177275106907136,0.000169968057771405,0.0124827195914276
"ACOT2","ACOT2","ENSG00000119673.14","acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431]","ACOT2",0.174745224496191,0.00117269464645585,0.0270015735647166
"ATG9A","ATG9A","ENSG00000198925.10","autophagy related 9A [Source:HGNC Symbol;Acc:HGNC:22408]","ATG9A",0.174386521560108,0.00113153711036118,0.0269940786573238
"THOP1","THOP1","ENSG00000172009.14","thimet oligopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:11793]","THOP1",0.174365313752805,0.0044977117633189,0.0438870436664493
"UBN2","UBN2","ENSG00000157741.14","ubinuclein 2 [Source:HGNC Symbol;Acc:HGNC:21931]","UBN2",0.174096731431908,0.00457436528576692,0.0442002239837429
"PLOD3","PLOD3","ENSG00000106397.11","procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 [Source:HGNC Symbol;Acc:HGNC:9083]","PLOD3",0.173726181749842,0.00203423412253173,0.0319643041811745
"FNBP4","FNBP4","ENSG00000109920.12","formin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19752]","FNBP4",0.172468429853215,0.00307004431158799,0.0371458332998785
"FAM50A","FAM50A","ENSG00000071859.14","family with sequence similarity 50 member A [Source:HGNC Symbol;Acc:HGNC:18786]","FAM50A",0.171890519123703,0.003501997054938,0.039239104456744
"NOL10","NOL10","ENSG00000115761.15","nucleolar protein 10 [Source:HGNC Symbol;Acc:HGNC:25862]","NOL10",0.171506071890458,0.00062249767998689,0.0205867015172234
"IDH3A","IDH3A","ENSG00000166411.13","isocitrate dehydrogenase 3 (NAD(+)) alpha [Source:HGNC Symbol;Acc:HGNC:5384]","IDH3A",0.170807808997544,0.000924977977838998,0.0244431231018479
"MRPL46","MRPL46","ENSG00000259494.1","mitochondrial ribosomal protein L46 [Source:HGNC Symbol;Acc:HGNC:1192]","MRPL46",0.170720882044711,0.00447407390968457,0.0437661883442411
"CARS","CARS","ENSG00000278191.4","cysteinyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:1493]","CARS",0.169980862184266,0.000990047794372743,0.0253247176916575
"KARS","KARS","ENSG00000065427.14","lysyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:6215]","KARS",0.169620853505979,0.00348685809554299,0.039239104456744
"RANBP10","RANBP10","ENSG00000141084.10","RAN binding protein 10 [Source:HGNC Symbol;Acc:HGNC:29285]","RANBP10",0.169617786123709,0.00169125125013753,0.0299723091504195
"NAT10","NAT10","ENSG00000135372.8","N-acetyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:29830]","NAT10",0.169519825333384,0.00100203985661195,0.0254169723976204
"PEG10","PEG10","ENSG00000242265.5","paternally expressed 10 [Source:HGNC Symbol;Acc:HGNC:14005]","PEG10",0.168512237071294,0.000759202523592007,0.0230139408293814
"METAP2","METAP2","ENSG00000111142.13","methionyl aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:16672]","METAP2",0.16816389657569,0.00421438834275419,0.0423772408505641
"ZCCHC9","ZCCHC9","ENSG00000131732.11","zinc finger CCHC-type containing 9 [Source:HGNC Symbol;Acc:HGNC:25424]","ZCCHC9",0.168134499873398,0.00170751569963255,0.0300065678583095
"EMD","EMD","ENSG00000102119.10","emerin [Source:HGNC Symbol;Acc:HGNC:3331]","EMD",0.167417181168277,0.00263039691707043,0.0349422810630667
"HSP90B1","HSP90B1","ENSG00000166598.14","heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]","HSP90B1",0.16678981740254,0.000347546369893802,0.0161332985686089
"ADA","ADA","ENSG00000196839.12","adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]","ADA",0.1667571647646,0.00371003620990353,0.0405029367445822
"DMAP1","DMAP1","ENSG00000178028.13","DNA methyltransferase 1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18291]","DMAP1",0.166739027365272,0.00324552603993976,0.038009476662942
"RPF2","RPF2","ENSG00000197498.12","ribosome production factor 2 homolog [Source:HGNC Symbol;Acc:HGNC:20870]","RPF2",0.165979612548227,0.00128191334299108,0.0276156865358807
"WIZ","WIZ","ENSG00000011451.17","widely interspaced zinc finger motifs [Source:HGNC Symbol;Acc:HGNC:30917]","WIZ",0.16597925446058,0.00557880121227727,0.0482438126715968
"NAGS","NAGS","ENSG00000161653.10","N-acetylglutamate synthase [Source:HGNC Symbol;Acc:HGNC:17996]","NAGS",0.165784427542255,0.00482283050292166,0.0451654648046123
"DHX30","DHX30","ENSG00000132153.14","DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716]","DHX30",0.163709190829628,0.000860762152425086,0.0241104586110685
"PGAM5","PGAM5","ENSG00000247077.6","PGAM family member 5, mitochondrial serine/threonine protein phosphatase [Source:HGNC Symbol;Acc:HGNC:28763]","PGAM5",0.16347847335706,0.000398090836275016,0.0163844618691239
"KIF13B","KIF13B","ENSG00000197892.12","kinesin family member 13B [Source:HGNC Symbol;Acc:HGNC:14405]","KIF13B",0.163219289922409,0.00519604040732146,0.0469494886317131
"RHEB","RHEB","ENSG00000106615.9","Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]","RHEB",0.162420653965756,0.000144235740040756,0.0123628143638309
"SURF1","SURF1","ENSG00000148290.9","SURF1, cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]","SURF1",0.162161998512517,0.00580912552031272,0.049130997162161
"RIOK1","RIOK1","ENSG00000124784.8","RIO kinase 1 [Source:HGNC Symbol;Acc:HGNC:18656]","RIOK1",0.161066681629397,0.00480907458605034,0.0451654648046123
"RFX5","RFX5","ENSG00000143390.17","regulatory factor X5 [Source:HGNC Symbol;Acc:HGNC:9986]","RFX5",0.160677153902734,0.00494543993095293,0.0457929774511056
"HGS","HGS","ENSG00000185359.12","hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897]","HGS",0.160393743026641,0.00449113387661245,0.0438787665769405
"ATAD3A","ATAD3A","ENSG00000197785.13","ATPase family, AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]","ATAD3A",0.159747252139427,0.00044128938543643,0.0167582622574763
"TANC2","TANC2","ENSG00000170921.15","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:HGNC Symbol;Acc:HGNC:30212]","TANC2",0.159422807177265,0.00544278253115982,0.0477146100338153
"LAMC1","LAMC1","ENSG00000135862.5","laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]","LAMC1",0.158853336722319,0.000467318520804932,0.0171003962427879
"CYC1","CYC1","ENSG00000179091.4","cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]","CYC1",0.157186370343779,0.000123914424083371,0.0117716398139587
"ACSL3","ACSL3","ENSG00000123983.13","acyl-CoA synthetase long chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]","ACSL3",0.157071540376647,0.0029751549776176,0.0367256006483938
"UQCRC1","UQCRC1","ENSG00000010256.10","ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]","UQCRC1",0.15698992459687,0.000575163337504694,0.0194277394001586
"EDC4","EDC4","ENSG00000038358.14","enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]","EDC4",0.15685511326417,0.00432027849312952,0.0429566644015861
"PSMA7","PSMA7","ENSG00000101182.14","proteasome subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]","PSMA7",0.156048243153713,0.000602431226560748,0.0200067916585553
"HK2","HK2","ENSG00000159399.9","hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]","HK2",0.155079332637041,0.00477866149146765,0.0451654648046123
"SYMPK","SYMPK","ENSG00000125755.18","symplekin [Source:HGNC Symbol;Acc:HGNC:22935]","SYMPK",0.154553226575841,0.00446855609508157,0.0437661883442411
"GRAMD1A","GRAMD1A","ENSG00000089351.14","GRAM domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29305]","GRAMD1A",0.154084587688222,0.00395228247523241,0.0414489544286556
"ERLIN1","ERLIN1","ENSG00000107566.13","ER lipid raft associated 1 [Source:HGNC Symbol;Acc:HGNC:16947]","ERLIN1",0.153542196728554,0.00367991150980982,0.0403412213225198
"PLCB2","PLCB2","ENSG00000137841.11","phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]","PLCB2",0.152169419861174,0.00210596349861893,0.0323214281419107
"NPLOC4","NPLOC4","ENSG00000182446.13","NPL4 homolog, ubiquitin recognition factor [Source:HGNC Symbol;Acc:HGNC:18261]","NPLOC4",0.151296170050615,0.00037257818105553,0.0163633545158355
"CCT3","CCT3","ENSG00000163468.14","chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616]","CCT3",0.150420578748414,0.00158689787671173,0.0296093047701135
"MRPS14","MRPS14","ENSG00000120333.4","mitochondrial ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:14049]","MRPS14",0.149390096593999,0.00522022372765552,0.0469860600304228
"MEF2D","MEF2D","ENSG00000116604.17","myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]","MEF2D",0.149046129824625,0.00412648056683166,0.0420782708418045
"RING1","RING1","ENSG00000206287.5","ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:10018]","RING1",0.148018071749636,0.00128924447516953,0.0276156865358807
"COG2","COG2","ENSG00000135775.13","component of oligomeric golgi complex 2 [Source:HGNC Symbol;Acc:HGNC:6546]","COG2",0.148007161958993,0.00268908985167717,0.03524803679545
"MRPS21","MRPS21","ENSG00000266472.5","mitochondrial ribosomal protein S21 [Source:HGNC Symbol;Acc:HGNC:14046]","MRPS21",0.146905726523222,0.00527583208019584,0.0470667961305917
"THOC2","THOC2","ENSG00000125676.19","THO complex 2 [Source:HGNC Symbol;Acc:HGNC:19073]","THOC2",0.144723154567119,0.00167240241820381,0.0299630841104687
"RBM17","RBM17","ENSG00000134453.15","RNA binding motif protein 17 [Source:HGNC Symbol;Acc:HGNC:16944]","RBM17",0.142688120491273,0.00550179959503128,0.0480510762421295
"SUPT6H","SUPT6H","ENSG00000109111.14","SPT6 homolog, histone chaperone [Source:HGNC Symbol;Acc:HGNC:11470]","SUPT6H",0.142396387605185,0.0009141696871771,0.0242469704947913
"TAF5","TAF5","ENSG00000148835.10","TATA-box binding protein associated factor 5 [Source:HGNC Symbol;Acc:HGNC:11539]","TAF5",0.141305191639905,0.00280957958493304,0.0360501899988811
"CDO1","CDO1","ENSG00000129596.4","cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]","CDO1",0.140638984498377,0.00288650547203854,0.0361726016588108
"BAZ2A","BAZ2A","ENSG00000076108.11","bromodomain adjacent to zinc finger domain 2A [Source:HGNC Symbol;Acc:HGNC:962]","BAZ2A",0.140506782861827,0.00519746995859678,0.0469494886317131
"FXR1","FXR1","ENSG00000114416.17","FMR1 autosomal homolog 1 [Source:HGNC Symbol;Acc:HGNC:4023]","FXR1",0.140215148545764,0.00183328638775778,0.0304551513536931
"GABPA","GABPA","ENSG00000154727.10","GA binding protein transcription factor alpha subunit [Source:HGNC Symbol;Acc:HGNC:4071]","GABPA",0.140045423006326,0.00156239577033375,0.02954348365722
"MPRIP","MPRIP","ENSG00000133030.20","myosin phosphatase Rho interacting protein [Source:HGNC Symbol;Acc:HGNC:30321]","MPRIP",0.139844711932988,0.00344760701120873,0.0390399510266386
"MRPL20","MRPL20","ENSG00000242485.5","mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]","MRPL20",0.137487994496225,0.00249166386216538,0.034762787738602
"USP15","USP15","ENSG00000135655.15","ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]","USP15",0.136666621330048,0.00354860587529731,0.0394188500877237
"PPIG","PPIG","ENSG00000138398.15","peptidylprolyl isomerase G [Source:HGNC Symbol;Acc:HGNC:14650]","PPIG",0.136403538824274,0.00140437155406462,0.0282446635199153
"PHRF1","PHRF1","ENSG00000274780.2","PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]","PHRF1",0.133707166281705,0.000441638791963951,0.0167582622574763
"UFL1","UFL1","ENSG00000014123.9","UFM1 specific ligase 1 [Source:HGNC Symbol;Acc:HGNC:23039]","UFL1",0.132128589112768,0.00280393447924545,0.0360362571121237
"GTPBP10","GTPBP10","ENSG00000105793.15","GTP binding protein 10 [Source:HGNC Symbol;Acc:HGNC:25106]","GTPBP10",0.132122210288336,0.000943436814988479,0.0246918032638044
"SLC25A19","SLC25A19","ENSG00000125454.11","solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409]","SLC25A19",0.129668313266878,0.00154633859413805,0.0293804332886229
"EIF2S1","EIF2S1","ENSG00000134001.12","eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]","EIF2S1",0.129396159911853,0.00168693983162431,0.0299630841104687
"ABCB10","ABCB10","ENSG00000135776.4","ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]","ABCB10",0.129100950806172,0.00181183133495621,0.0304049148014732
